Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
821.611,0.195
821.885,0.197
822.16,0.198
822.435,0.198
822.709,0.197
822.984,0.197
823.259,0.196
823.533,0.197
823.808,0.199
824.083,0.197
824.357,0.192
824.632,0.188
824.906,0.185
825.181,0.184
825.455,0.189
825.73,0.196
826.004,0.2
826.279,0.202
826.553,0.204
826.827,0.203
827.102,0.202
827.376,0.2
827.65,0.196
827.924,0.191
828.199,0.19
828.473,0.188
828.747,0.188
829.021,0.191
829.295,0.193
829.569,0.193
829.843,0.19
830.117,0.187
830.391,0.189
830.665,0.189
830.939,0.188
831.212,0.19
831.486,0.192
831.76,0.194
832.033,0.196
832.307,0.197
832.58,0.196
832.854,0.196
833.127,0.197
833.401,0.194
833.674,0.191
833.947,0.189
834.22,0.189
834.493,0.191
834.766,0.194
835.039,0.193
835.312,0.192
835.585,0.197
835.858,0.2
836.131,0.2
836.403,0.199
836.676,0.199
836.949,0.196
837.221,0.192
837.493,0.189
837.766,0.188
838.038,0.191
838.31,0.194
838.582,0.196
838.854,0.199
839.126,0.201
839.398,0.202
839.67,0.203
839.941,0.203
840.213,0.203
840.484,0.203
840.756,0.2
841.027,0.198
841.298,0.199
841.569,0.2
841.84,0.203
842.111,0.204
842.382,0.202
842.653,0.198
842.924,0.19
843.194,0.18
843.465,0.177
843.735,0.176
844.005,0.178
844.275,0.183
844.545,0.189
844.815,0.196
845.085,0.204
845.355,0.208
845.625,0.21
845.894,0.21
846.163,0.206
846.433,0.199
846.702,0.195
846.971,0.19
847.24,0.19
847.509,0.196
847.777,0.204
848.046,0.203
848.314,0.197
848.583,0.191
848.851,0.185
849.119,0.185
849.387,0.191
849.654,0.196
849.922,0.196
850.19,0.196
850.457,0.198
850.724,0.199
850.991,0.2
851.258,0.197
851.525,0.195
851.792,0.191
852.059,0.188
852.325,0.191
852.591,0.196
852.857,0.198
853.123,0.201
853.389,0.2
853.655,0.198
853.92,0.194
854.186,0.189
854.451,0.185
854.716,0.183
854.981,0.19
855.246,0.199
855.51,0.202
855.775,0.202
856.039,0.2
856.303,0.199
856.567,0.198
856.831,0.196
857.095,0.198
857.358,0.199
857.621,0.201
857.885,0.2
858.147,0.2
858.41,0.201
858.673,0.2
858.935,0.196
859.198,0.19
859.46,0.188
859.722,0.19
859.983,0.194
860.245,0.198
860.506,0.198
860.767,0.19
861.028,0.182
861.289,0.18
861.55,0.181
861.81,0.183
862.071,0.187
862.331,0.187
862.59,0.189
